60 GB	50 GB	45 GB	
1.70408	1.82845	1.79387	
1.68603	1.84095	1.79937	
1.67229	1.8419	1.81209	
1.65116	1.88717	1.80495	
1.64738	1.91076	1.79412	
1.629	1.90607	1.7859	
1.62172	1.92799	1.7756	
1.62001	1.9174	1.7685	
1.61298	1.92497	1.77235	
1.61081	1.92687	1.75804	
1.62049	1.92906	1.75086	
1.64585	1.92837	1.7327	
1.66327	1.91932	1.7368	
1.6779	1.89119	1.70529	
1.68367	1.8574	1.69644	
1.68088	1.82991	1.69643	
1.67847	1.81502	1.69178	
1.67837	1.81237	1.69034	
1.68721	1.80013	1.67985	
1.73833	1.79416	1.69129	
1.73484	1.80018	1.70422	
1.76026	1.79162	1.69252	
1.76201	1.77286	1.67818	
1.76264	1.72498	1.68472	
1.77764	1.73757	1.71597	
1.78128	1.75234	1.72145	
1.806	1.73983	1.72819	
1.81313	1.74862	1.72822	
1.82068	1.77358	1.74158	
1.817	1.76698	1.75805	
1.81702	1.75746	1.75503	
1.79771	1.7543	1.74288	
1.78541	1.76761	1.75295	
1.76314	1.77325	1.75494	
1.75283	1.80093	1.76301	
1.75727	1.80994	1.76506	
1.76017	1.84327	1.77269	
1.75945	1.85209	1.77488	
1.75364	1.85167	1.74822	
1.69275	1.87645	1.73279	
1.7033	1.86851	1.71129	
1.67611	1.86846	1.73254	
1.67132	1.8944	1.7379	
1.66903	1.96184	1.72563	
1.64673	1.94143	1.69993	
1.63691	1.91483	1.72229	
1.62991	1.93506	1.71767	
1.6364	1.9271	1.7232	
1.64236	1.89869	1.71869	
1.65136	1.94097	1.71271	
1.66367	1.96754	1.72278	
1.65712	1.97307	1.73148	
1.65351	1.97469	1.72142	
1.65848	1.97407	1.75782	
1.666	1.95194	1.75065	
1.66984	1.94446	1.81059	
1.66816	1.93903	1.82709	
1.66847	1.9397	1.84103	
1.67654	1.95001	1.86199	
1.67924	1.93222	1.86908	
1.67024	1.94258	1.91547	
1.67927	1.94189	1.90715	
1.68351	1.94746	1.91725	
1.69759	1.92276	1.9154	
1.76672	1.90754	1.93553	
1.76807	1.90053	1.90503	
1.77074	1.87851	1.90242	
1.75546	1.88105	1.91625	
1.75605	1.88364	1.92784	
1.7411	1.84915	1.91748	
1.72781	1.82462	1.90631	
1.74236	1.81836	1.90744	
1.76752	1.81204	1.91837	
1.78362	1.81902	1.88046	
1.77655	1.82724	1.90046	
1.77893	1.83716	1.84647	
1.78277	1.82877	1.82147	
1.79512	1.82926	1.80065	
1.78572	1.82294	1.78166	
1.81014	1.82106	1.79695	
1.80385	1.81158	1.76638	
1.81221	1.81413	1.78601	
1.80911	1.79259	1.78353	
1.79846	1.78833	1.81977	
1.73167	1.79834	1.83051	
1.73183	1.82411	1.83278	
1.72788	1.82249	1.86474	
1.73737	1.82455	1.85417	
1.73636	1.82779	1.85796	
1.78523	1.8255	1.85306	
1.77864	1.83472	1.85717	
1.76636	1.84291	1.85353	
1.74135	1.84121	1.83758	
1.7257	1.83049	1.84473	
1.7315	1.82225	1.85529	
1.74395	1.82799	1.84466	
1.74532	1.82028	1.87325	
1.73877	1.81533	1.88564	
1.73534	1.81661	1.894	
1.70845	1.82776	1.90023	
1.71181	1.83187	1.89772	
1.68775	1.83062	1.87227	
1.68326	1.82439	1.87984	
1.68089	1.79226	1.86256	
1.7211	1.80958	1.82412	
1.73561	1.80276	1.86913	
1.74727	1.80508	1.84668	
1.74933	1.80298	1.84539	
1.7697	1.81987	1.84819	
1.71862	1.8217	1.84786	
1.71823	1.83102	1.8472	
1.74009	1.83923	1.84592	
1.74629	1.85648	1.84365	
1.7444	1.87082	1.83176	
1.73641	1.87271	1.80384	
1.71134	1.85829	1.81778	
1.70754	1.86232	1.79335	
1.72965	1.86894	1.78333	
1.74165	1.86487	1.77964	
1.76196	1.85275	1.74248	
1.78615	1.85691	1.72929	
1.79038	1.86072	1.71973	
1.80476	1.8753	1.70957	
1.80537	1.86456	1.70023	
1.78457	1.83986	1.70343	
1.76455	1.81802	1.67972	
1.7394	1.8155	1.67805	
1.73085	1.84097	1.6674	
1.70381	1.82607	1.63807	
1.7112	1.81951	1.63404	
1.70878	1.80214	1.68076	
1.69009	1.79048	1.69179	
1.68997	1.77676	1.71702	
1.69093	1.76603	1.72054	
1.69605	1.78552	1.72004	
1.69816	1.7821	1.7015	
1.69987	1.77904	1.71533	
1.67133	1.76974	1.73603	
1.6575	1.77445	1.77728	
1.63963	1.77064	1.7862	
1.6377	1.7753	1.83088	
1.63487	1.77091	1.83399	
1.62091	1.75418	1.84118	
1.62523	1.75149	1.83321	
1.61968	1.75171	1.85316	
1.63263	1.75818	1.83241	
1.64894	1.75746	1.84692	
1.666	1.73182	1.85338	
1.69477	1.74312	1.87872	
1.69443	1.74727	1.87997	
1.69691	1.74445	1.84329	
1.70271	1.74705	1.829	
1.69783	1.77447	1.80706	
1.69762	1.78946	1.81126	
1.69831	1.77247	1.81284	
1.69747	1.77987	1.81844	
1.69491	1.78494	1.798	
1.7064	1.7885	1.77468	
1.71558	1.78326	1.72758	
1.72508	1.77901	1.71671	
1.72323	1.77464	1.66853	
1.72524	1.79337	1.66429	
1.73341	1.82046	1.65757	
1.74951	1.85059	1.66499	
1.73862	1.86234	1.6435	
1.74221	1.86134	1.64218	
1.73005	1.87259	1.62433	
1.73076	1.86973	1.66452	
1.71004	1.8526	1.70262	
1.72716	1.86199	1.70333	
1.74433	1.8661	1.69501	
1.74864	1.8774	1.70201	
1.76102	1.86385	1.70119	
1.76718	1.87256	1.6965	
1.78747	1.87621	1.68961	
1.79862	1.87252	1.68479	
1.80259	1.87615	1.68723	
1.7881	1.87292	1.68813	
1.8074	1.88247	1.69487	
1.82426	1.92096	1.69831	
1.82827	1.9362	1.70758	
1.83313	1.93405	1.71069	
1.82879	1.91736	1.72473	
1.81803	1.89402	1.72342	
1.81686	1.89143	1.72487	
1.80796	1.89676	1.74529	
1.80138	1.88676	1.75655	
1.78373	1.92608	1.70947	
1.78327	1.9265	1.64221	
1.76259	1.93421	1.64334	
1.74315	1.92856	1.63827	
1.73132	1.92009	1.63243	
1.72608	1.90594	1.63102	
1.72898	1.88452	1.63685	
1.71406	1.89637	1.64324	
1.70487	1.91953	1.64086	
1.70331	1.91661	1.63561	
1.7231	1.91623	1.64082	
1.69534	1.91646	1.64479	
1.68101	1.88266	1.64742	
1.66891	1.86902	1.67009	
1.68446	1.85629	1.67486	
1.67929	1.87818	1.67923	
1.67241	1.8745	1.68548	
1.66894	1.86663	1.71451	
1.66067	1.87537	1.70835	
1.66146	1.8777	1.69846	
1.66707	1.86277	1.69594	
1.69512	1.88057	1.69736	
1.69837	1.86414	1.6939	
1.72996	1.86517	1.69963	
1.73324	1.86039	1.70089	
1.72595	1.89151	1.69792	
1.71287	1.88595	1.7006	
1.73202	1.91432	1.69678	
1.7407	1.89736	1.7032	
1.74021	1.89362	1.71255	
1.72306	1.89549	1.70588	
1.72125	1.88995	1.70326	
1.70712	1.90446	1.69801	
1.68766	1.90547	1.68301	
1.67286	1.9189	1.68278	
1.69652	1.8941	1.67158	
