45 GB	40 GB	35 GB	30 GB	
206.4	225.6	124.8	92.8	
208	225.6	126.4	92.8	
212.8	224	128	92.8	
216	222.4	136	92.8	
214.4	222.4	139.2	92.8	
214.4	220.8	137.6	92.8	
212.8	220.8	137.6	91.2	
206.4	224	142.4	92.8	
201.6	224	142.4	92.8	
195.2	225.6	140.8	92.8	
195.2	224	140.8	92.8	
195.2	222.4	140.8	92.8	
198.4	216	140.8	92.8	
200	211.2	144	92.8	
206.4	206.4	142.4	92.8	
211.2	200	139.2	92.8	
211.2	198.4	137.6	92.8	
212.8	198.4	136	92.8	
220.8	196.8	134.4	92.8	
224	196.8	136	92.8	
224	200	137.6	92.8	
224	196.8	134.4	94.4	
224	196.8	132.8	94.4	
224	200	126.4	94.4	
224	200	123.2	94.4	
220.8	201.6	124.8	92.8	
222.4	201.6	124.8	94.4	
217.6	200	121.6	94.4	
217.6	200	120	94.4	
217.6	200	121.6	94.4	
216	200	121.6	94.4	
217.6	203.2	121.6	94.4	
216	208	121.6	94.4	
211.2	208	121.6	94.4	
211.2	209.6	120	94.4	
211.2	211.2	120	94.4	
209.6	216	120	94.4	
209.6	216	121.6	94.4	
206.4	217.6	121.6	92.8	
204.8	217.6	120	92.8	
206.4	217.6	118.4	92.8	
204.8	217.6	120	92.8	
206.4	214.4	120	92.8	
204.8	208	118.4	92.8	
204.8	206.4	118.4	92.8	
206.4	204.8	118.4	94.4	
204.8	204.8	116.8	94.4	
212.8	204.8	116.8	94.4	
217.6	206.4	116.8	94.4	
222.4	204.8	116.8	94.4	
224	206.4	116.8	94.4	
224	204.8	116.8	94.4	
224	203.2	113.6	94.4	
230.4	206.4	112	94.4	
222.4	209.6	120	94.4	
217.6	214.4	123.2	92.8	
212.8	214.4	124.8	92.8	
206.4	214.4	123.2	92.8	
203.2	214.4	124.8	94.4	
204.8	214.4	128	94.4	
200	211.2	124.8	94.4	
201.6	214.4	126.4	94.4	
201.6	219.2	126.4	94.4	
203.2	224	126.4	92.8	
204.8	225.6	124.8	92.8	
204.8	225.6	126.4	92.8	
204.8	220.8	128	92.8	
203.2	216	128	92.8	
203.2	209.6	129.6	92.8	
203.2	211.2	128	92.8	
204.8	209.6	126.4	92.8	
203.2	208	124.8	92.8	
204.8	211.2	128	91.2	
203.2	206.4	126.4	91.2	
211.2	204.8	121.6	91.2	
216	206.4	118.4	92.8	
222.4	198.4	120	92.8	
228.8	195.2	120	92.8	
233.6	195.2	120	92.8	
232	195.2	118.4	92.8	
236.8	196.8	121.6	91.2	
236.8	198.4	120	91.2	
235.2	196.8	123.2	91.2	
235.2	196.8	123.2	92.8	
233.6	198.4	128	92.8	
235.2	198.4	124.8	92.8	
236.8	203.2	123.2	92.8	
240	209.6	123.2	92.8	
240	212.8	121.6	92.8	
240	212.8	123.2	91.2	
240	209.6	124.8	91.2	
240	211.2	131.2	91.2	
240	209.6	131.2	92.8	
240	216	129.6	92.8	
240	217.6	129.6	92.8	
240	217.6	128	92.8	
240	224	124.8	92.8	
236.8	227.2	124.8	92.8	
230.4	225.6	120	92.8	
224	225.6	121.6	92.8	
216	227.2	123.2	94.4	
206.4	220.8	124.8	92.8	
198.4	217.6	124.8	92.8	
190.4	212.8	128	92.8	
182.4	212.8	129.6	92.8	
176	212.8	129.6	92.8	
176	214.4	131.2	92.8	
171.2	212.8	132.8	92.8	
163.2	214.4	137.6	92.8	
156.8	212.8	139.2	94.4	
153.6	217.6	142.4	94.4	
153.6	214.4	139.2	94.4	
