5 GB	40 GB	35 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
140.8	166.4	212.8	214.4	230.4	128	128	94.4	
140.8	161.6	211.2	212.8	230.4	128	128	92.8	
139.2	158.4	208	211.2	227.2	126.4	128	92.8	
139.2	155.2	206.4	209.6	224	126.4	128	92.8	
142.4	155.2	204.8	204.8	220.8	128	126.4	92.8	
145.6	150.4	204.8	201.6	216	124.8	126.4	92.8	
147.2	150.4	203.2	200	216	124.8	126.4	92.8	
147.2	147.2	201.6	195.2	212.8	126.4	124.8	94.4	
145.6	145.6	200	192	208	124.8	124.8	94.4	
145.6	145.6	196.8	188.8	204.8	126.4	126.4	92.8	
145.6	140.8	195.2	187.2	200	126.4	124.8	92.8	
145.6	139.2	193.6	182.4	195.2	128	123.2	91.2	
145.6	134.4	190.4	177.6	190.4	126.4	123.2	92.8	
145.6	132.8	188.8	176	187.2	128	123.2	91.2	
145.6	128	185.6	176	182.4	128	123.2	92.8	
145.6	128	184	172.8	179.2	129.6	121.6	89.6	
144	128	180.8	172.8	176	128	123.2	89.6	
144	126.4	180.8	171.2	172.8	128	124.8	91.2	
142.4	126.4	180.8	168	168	126.4	124.8	91.2	
140.8	124.8	180.8	171.2	163.2	126.4	128	92.8	
142.4	123.2	179.2	168	158.4	128	129.6	91.2	
140.8	123.2	177.6	166.4	153.6	126.4	129.6	91.2	
139.2	121.6	177.6	166.4	150.4	126.4	129.6	91.2	
139.2	121.6	176	164.8	147.2	126.4	129.6	91.2	
134.4	121.6	176	168	145.6	124.8	129.6	91.2	
132.8	121.6	174.4	168	144	124.8	129.6	91.2	
132.8	121.6	172.8	168	139.2	123.2	128	89.6	
132.8	121.6	172.8	171.2	137.6	120	129.6	89.6	
134.4	120	171.2	171.2	134.4	121.6	128	89.6	
134.4	120	171.2	171.2	132.8	120	129.6	88	
136	121.6	169.6	171.2	131.2	120	131.2	89.6	
136	118.4	169.6	171.2	128	120	132.8	89.6	
136	120	168	172.8	128	121.6	131.2	89.6	
134.4	118.4	168	172.8	126.4	120	132.8	89.6	
132.8	120	166.4	172.8	123.2	118.4	134.4	89.6	
132.8	118.4	166.4	172.8	123.2	116.8	136	91.2	
136	118.4	166.4	171.2	120	118.4	137.6	91.2	
136	118.4	164.8	169.6	116.8	116.8	134.4	91.2	
134.4	118.4	164.8	169.6	113.6	118.4	134.4	89.6	
134.4	118.4	164.8	166.4	112	118.4	132.8	89.6	
132.8	118.4	163.2	168	108.8	116.8	131.2	89.6	
132.8	118.4	163.2	166.4	110.4	118.4	129.6	91.2	
132.8	118.4	160	168	108.8	118.4	128	91.2	
131.2	118.4	158.4	169.6	110.4	118.4	126.4	91.2	
132.8	118.4	156.8	168	110.4	116.8	126.4	91.2	
131.2	116.8	155.2	168	108.8	116.8	126.4	91.2	
129.6	116.8	153.6	168	108.8	116.8	126.4	91.2	
129.6	116.8	152	166.4	107.2	116.8	123.2	91.2	
128	118.4	153.6	166.4	108.8	116.8	121.6	91.2	
128	118.4	153.6	168	107.2	116.8	120	91.2	
124.8	116.8	152	168	108.8	116.8	118.4	91.2	
123.2	116.8	152	168	110.4	116.8	120	89.6	
123.2	115.2	150.4	168	110.4	115.2	121.6	89.6	
121.6	116.8	148.8	166.4	108.8	116.8	123.2	88	
123.2	115.2	148.8	164.8	110.4	118.4	123.2	88	
123.2	116.8	147.2	164.8	108.8	118.4	123.2	88	
120	115.2	145.6	163.2	108.8	118.4	121.6	88	
120	115.2	145.6	164.8	110.4	118.4	123.2	88	
120	113.6	144	164.8	112	116.8	124.8	88	
120	113.6	140.8	163.2	112	115.2	126.4	88	
120	115.2	140.8	161.6	115.2	115.2	128	88	
118.4	115.2	139.2	161.6	113.6	115.2	129.6	88	
118.4	115.2	139.2	160	113.6	113.6	131.2	88	
116.8	113.6	140.8	158.4	112	113.6	131.2	86.4	
116.8	112	139.2	158.4	110.4	115.2	131.2	86.4	
116.8	113.6	139.2	156.8	110.4	115.2	129.6	86.4	
116.8	113.6	139.2	155.2	110.4	115.2	129.6	86.4	
116.8	112	137.6	156.8	112	115.2	131.2	86.4	
116.8	112	134.4	156.8	110.4	113.6	131.2	86.4	
116.8	110.4	134.4	155.2	112	113.6	129.6	86.4	
116.8	110.4	134.4	153.6	110.4	113.6	128	86.4	
118.4	112	134.4	152	110.4	113.6	126.4	88	
116.8	113.6	136	152	110.4	115.2	124.8	88	
118.4	112	137.6	150.4	110.4	115.2	123.2	89.6	
118.4	113.6	139.2	150.4	108.8	113.6	123.2	89.6	
116.8	112	139.2	148.8	110.4	113.6	121.6	89.6	
118.4	110.4	139.2	148.8	110.4	113.6	118.4	89.6	
116.8	110.4	139.2	147.2	108.8	113.6	116.8	89.6	
118.4	110.4	137.6	147.2	110.4	113.6	115.2	91.2	
118.4	108.8	137.6	148.8	110.4	113.6	112	89.6	
