60 GB	50 GB	5 GB	45 GB	40 GB	35 GB	30 GB	25 GB	
1.77183	1.58879	14.2393	1.7854	1.69363	1.65768	1.62591	1.67023	
1.77593	1.57937	23.7635	1.7795	1.69979	1.65953	1.61626	1.66386	
1.77953	1.56808	35.3191	1.77676	1.71057	1.66465	1.61912	1.65192	
1.78722	1.56549	47.981	1.7807	1.71668	1.66322	1.61032	1.64902	
1.85372	1.56816	47.9166	1.78283	1.71837	1.65937	1.60611	1.64873	
1.85388	1.57196	64.1498	1.78675	1.71411	1.65747	1.61311	1.64604	
1.86686	1.59641	83.4816	1.78994	1.71648	1.66021	1.61462	1.65346	
1.85709	1.59326	103.42	1.78764	1.71113	1.66555	1.61384	1.65789	
1.86387	1.59219	126.137	1.7408	1.71283	1.66237	1.61257	1.66363	
1.88629	1.58827	150.282	1.74447	1.7148	1.65973	1.60101	1.66526	
1.88757	1.58633	175.285	1.74946	1.71971	1.65306	1.58085	1.66338	
1.89559	1.58915	175.225	1.75235	1.71278	1.65327	1.58101	1.6591	
1.89215	1.59816	209.843	1.75858	1.70865	1.64418	1.58456	1.66315	
1.91639	1.59501	245.432	1.75916	1.68773	1.64431	1.59541	1.67315	
1.91755	1.59891	245.379	1.74726	1.68911	1.63562	1.61166	1.67171	
1.91714	1.59747	283.116	1.74097	1.68972	1.62692	1.61193	1.67186	
1.92123	1.59672	325.016	1.74231	1.65652	1.61149	1.61023	1.67466	
1.92262	1.59652	367.219	1.753	1.65461	1.60344	1.60808	1.6783	
1.93641	1.60558	402.843	1.74748	1.63982	1.60685	1.6174	1.6845	
1.94608	1.60568	398.678	1.75132	1.63993	1.60985	1.62235	1.6899	
1.94294	1.60487	443.837	1.75146	1.65113	1.61093	1.62322	1.68642	
1.94183	1.60703	488.873	1.75785	1.64721	1.60778	1.62458	1.69178	
1.98457	1.62173	511.942	1.76309	1.63922	1.60846	1.62793	1.70575	
1.97877	1.62396	559.398	1.75409	1.64456	1.61373	1.62884	1.70366	
1.90756	1.62036	559.404	1.75065	1.64393	1.61666	1.62781	1.6953	
1.90367	1.61575	579.968	1.75216	1.65946	1.62506	1.61231	1.69493	
1.87977	1.59509	597.222	1.75425	1.69169	1.62761	1.61022	1.68601	
1.86967	1.59482	634.905	1.75731	1.69017	1.62741	1.60914	1.6812	
1.84443	1.5951	660.206	1.78322	1.68747	1.63224	1.62039	1.68018	
1.80936	1.5928	636.002	1.77385	1.69572	1.6315	1.62175	1.71163	
1.79036	1.59853	644.902	1.76554	1.69631	1.64347	1.62242	1.70896	
1.77749	1.59999	708.664	1.76257	1.70466	1.67637	1.62865	1.71574	
1.76532	1.59764	735.447	1.75863	1.71629	1.67738	1.62409	1.71714	
1.75111	1.59735	699.807	1.75906	1.71771	1.67374	1.6076	1.70892	
1.73977	1.59581	781.015	1.78483	1.71601	1.67825	1.58833	1.70907	
1.73181	1.59311	819.702	1.78469	1.71601	1.68286	1.58726	1.70819	
1.71414	1.58654	819.737	1.78021	1.71644	1.68836	1.61476	1.70396	
1.71148	1.593	832.08	1.76602	1.72728	1.68364	1.61662	1.70043	
1.69776	1.58367	879.857	1.76659	1.72905	1.69233	1.61393	1.70376	
1.67983	1.57176	923.744	1.75885	1.73621	1.69492	1.61267	1.70116	
1.67306	1.57048	892.101	1.75765	1.72665	1.69235	1.62144	1.70843	
1.69559	1.56951	837.483	1.75879	1.72561	1.70064	1.62733	1.70503	
1.64285	1.56237	856.876	1.75732	1.73272	1.71761	1.63312	1.69389	
1.63482	1.56136	833.513	1.76011	1.72651	1.71457	1.64167	1.69453	
1.62861	1.56606	864.532	1.76103	1.72484	1.7159	1.65133	1.69595	
1.64565	1.57501	863.947	1.75364	1.71352	1.70371	1.66068	1.70181	
1.66923	1.59096	845.084	1.75015	1.68225	1.70488	1.6686	1.71081	
1.68121	1.62734	809.63	1.74942	1.68218	1.70164	1.6659	1.71395	
1.69403	1.63595	815.203	1.72058	1.67629	1.69377	1.6573	1.71426	
1.702	1.64009	835.238	1.729	1.66718	1.68852	1.65854	1.67494	
1.71661	1.63246	841.859	1.73258	1.6728	1.67996	1.66422	1.67751	
1.72164	1.62591	838.367	1.74056	1.66609	1.6454	1.66651	1.6682	
1.72539	1.6219	814.893	1.74039	1.65974	1.64623	1.67944	1.669	
1.71271	1.62602	832.066	1.73598	1.65553	1.64868	1.69023	1.67304	
1.71789	1.62427	799.893	1.72023	1.65007	1.6554	1.6963	1.67441	
1.71295	1.62777	740.373	1.72127	1.64589	1.66041	1.69954	1.67681	
1.71329	1.63246	722.693	1.72432	1.64058	1.68242	1.67917	1.6728	
1.7061	1.6338	692.396	1.72079	1.63473	1.68882	1.68238	1.68463	
1.6969	1.63661	638.919	1.72559	1.64372	1.68183	1.68466	1.67861	
1.69948	1.63434	631.644	1.72836	1.64503	1.67239	1.69262	1.68302	
1.72947	1.63056	638.328	1.73686	1.64818	1.67171	1.68979	1.68445	
1.70279	1.63894	673.649	1.73244	1.6495	1.65756	1.68669	1.68448	
1.70586	1.6571	656.868	1.73394	1.63985	1.63294	1.6785	1.68938	
1.70592	1.66266	641.427	1.73933	1.6434	1.63953	1.67415	1.69066	
1.71785	1.66096	655.567	1.73959	1.65237	1.63787	1.67155	1.69107	
1.70197	1.66306	631.201	1.73278	1.65889	1.64176	1.66909	1.68583	
1.68439	1.64589	624.342	1.72266	1.66381	1.63992	1.67462	1.68228	
1.667	1.6129	619.256	1.70972	1.66951	1.63553	1.69187	1.68469	
1.66415	1.6047	584.919	1.70042	1.67225	1.64567	1.70134	1.68752	
1.66435	1.60828	587.206	1.70269	1.66994	1.64844	1.70575	1.68786	
1.66117	1.60746	568.353	1.70679	1.65833	1.65442	1.70993	1.69212	
1.6669	1.614	539.971	1.69146	1.65896	1.65329	1.70281	1.69759	
1.66499	1.62299	501.99	1.68883	1.65337	1.64639	1.69702	1.69824	
1.67023	1.6225	510.808	1.68445	1.65457	1.64257	1.6931	1.70003	
1.67066	1.62488	483.526	1.67233	1.65411	1.63525	1.6932	1.70503	
1.72311	1.61911	481.75	1.66138	1.64647	1.69407	1.69929	1.70063	
1.73652	1.62041	467.365	1.65574	1.65165	1.66682	1.70122	1.70444	
1.73952	1.61563	464.826	1.66888	1.6886	1.65756	1.70349	1.69616	
1.74271	1.61	447.949	1.66069	1.69672	1.6586	1.70129	1.70353	
1.74745	1.61485	441.726	1.65495	1.69995	1.66671	1.69516	1.70191	
1.72403	1.61888	417.42	1.63985	1.69404	1.6667	1.69372	1.69201	
1.72791	1.60534	393.025	1.63162	1.69768	1.69285	1.69671	1.7072	
1.73191	1.59282	355.723	1.61794	1.69297	1.69164	1.70385	1.70781	
1.73207	1.58919	336.501	1.60903	1.6886	1.68493	1.70912	1.71596	
