09/07/2015 (24 CPU)
  
%usr %sys %iowait
0.33 0.67 3.72
0.29 0.67 3.76
0.13 0.63 4.06
0.17 0.63 4.23
0.17 0.50 4.14
0.25 0.67 4.22
0.29 0.75 4.13
0.08 0.79 4.02
0.25 0.75 4.21
0.17 0.67 4.14
0.21 0.54 4.27
0.21 0.59 3.97
0.21 0.50 4.19
0.21 0.75 4.22
0.13 0.67 4.10
0.21 0.75 4.22
0.29 0.54 4.01
0.13 0.71 4.22
0.21 0.67 4.22
0.17 0.71 4.10
0.25 0.67 4.22
0.17 0.67 4.22
0.21 0.59 3.97
0.21 0.67 4.22
0.08 0.71 4.10
0.25 0.63 4.18
0.25 0.67 4.05
0.17 0.46 4.19
0.33 0.67 4.22
0.13 0.50 4.10
0.13 0.59 4.14
0.33 0.75 4.00
0.17 0.75 4.18
0.25 0.59 4.22
0.29 0.75 4.13
0.29 0.79 4.17
0.17 0.59 4.02
0.33 0.75 4.21
0.21 0.63 4.18
0.21 0.63 4.10
0.17 0.71 4.18
0.25 0.59 3.97
0.17 0.63 4.26
0.25 0.71 4.22
0.25 0.54 4.10
0.29 0.75 4.18
0.21 0.67 4.18
0.25 0.63 4.01
0.21 0.75 4.22
0.21 0.67 4.10
0.13 0.63 4.23
0.33 0.67 4.18
0.17 0.75 4.05
0.21 0.50 4.19
0.13 0.88 4.01
0.17 0.59 4.18
0.29 0.50 4.06
0.21 0.67 4.18
0.21 0.46 4.23
0.13 0.79 4.09
0.21 0.50 4.14
0.17 0.67 4.01
0.21 0.63 4.18
0.13 0.71 4.06
0.17 0.67 4.10
0.29 0.63 4.22
0.21 0.58 4.01
0.25 0.79 4.22
0.29 0.75 4.21
0.25 0.71 4.05
0.33 0.79 4.13
0.17 0.75 3.96
0.21 0.75 4.22
0.25 0.71 4.22
0.42 0.79 4.12
0.25 0.79 4.22
0.25 0.71 4.05
0.25 0.63 4.22
0.25 0.63 4.22
0.25 0.67 4.01
0.25 0.63 4.22
0.29 0.71 4.01
0.21 0.59 4.19
0.17 0.67 4.26
0.38 0.75 4.05
0.25 0.71 3.80
0.17 0.59 3.56
0.29 0.63 3.76
0.25 0.54 3.73
0.17 0.54 4.02
0.17 0.54 4.18
0.21 0.67 4.01
0.29 0.63 4.22
0.29 0.50 3.64
0.25 0.79 4.34
0.38 0.63 4.17
0.25 0.63 4.18
0.21 0.75 4.01
0.29 0.67 4.22
0.33 0.63 4.09
0.33 0.79 4.16
0.33 0.54 4.01
0.29 0.71 4.22
0.13 0.67 4.23
0.25 0.67 4.09
0.17 0.63 4.18
0.17 0.59 4.06
0.33 0.71 4.22
0.17 0.79 4.22
0.21 0.63 3.97
0.42 0.54 4.22
0.38 0.67 3.96
0.17 0.79 4.18
0.33 0.79 3.84
