45 GB	40 GB	35 GB	30 GB	
1.61187	1.90636	1.75969	1.69949	
1.61549	1.89678	1.7754	1.71442	
1.61702	1.91288	1.77266	1.72372	
1.61373	1.93676	1.78679	1.7026	
1.60722	1.92819	1.78076	1.68336	
1.59725	1.9286	1.77175	1.67381	
1.60023	1.95109	1.73753	1.66665	
1.60131	1.89027	2.07961	1.65925	
1.59943	1.82647	2.50331	4.22797	
1.60051	1.75572	2.5798	7.28664	
1.61239	1.69573	3.60226	10.7957	
1.60609	2.05692	4.15287	13.2301	
1.60481	2.15142	5.0228	14.6791	
1.59351	2.25038	6.56998	19.9597	
1.58639	2.26203	8.17712	25.698	
1.59352	2.5086	8.73188	27.4302	
1.57224	2.58551	9.7132	31.036	
1.56201	2.70792	10.0518	35.904	
1.67048	2.88967	10.1388	38.563	
1.73377	2.91416	10.4425	46.0957	
1.80216	2.97961	10.9436	55.6097	
1.8476	3.03323	15.0166	61.7995	
1.85976	3.2228	16.5975	66.1003	
1.89819	3.33062	17.3089	72.3199	
1.92223	3.58848	17.5463	80.0331	
1.94557	3.58967	18.4812	83.856	
1.95383	3.56946	18.7526	90.2062	
2.05948	3.60503	19.0802	93.3359	
2.07493	3.81151	20.0341	91.6918	
2.08081	3.98405	20.6659	88.5817	
2.07014	4.70439	20.7662	87.9034	
2.11954	7.45619	21.075	98.3633	
2.12598	7.34691	20.4377	102.817	
2.13002	7.22541	18.9994	100.86	
2.1632	7.13334	18.1862	101.504	
2.16867	7.68442	18.4441	106.282	
2.213	7.55408	18.2617	107.981	
2.26223	7.45809	19.3605	106.29	
2.14231	7.28925	19.3498	103.577	
2.10453	7.25439	19.5601	100.734	
2.01432	7.16954	19.803	99.9286	
1.99016	7.19189	16.4614	103.616	
2.01756	7.0128	16.1361	101.787	
2.00507	6.99443	16.42	98.7933	
2.09848	6.7389	16.555	93.0472	
2.14252	6.80505	20.9646	95.7445	
2.14906	6.94091	21.3251	91.6385	
2.06685	6.98604	20.7787	90.4852	
2.07935	6.89975	19.9411	89.5108	
2.12106	6.79343	20.1662	93.4948	
2.12918	6.30866	19.4212	91.5613	
2.10777	3.27965	20.118	83.6808	
2.11404	3.38908	20.8433	84.1805	
2.11	3.66515	22.2148	86.2034	
2.13323	3.76803	22.2338	86.2225	
2.18937	3.03662	21.6382	82.3229	
2.16899	3.01394	21.2482	82.716	
2.14358	5.3132	20.9067	84.6528	
2.15528	5.36444	21.3134	90.594	
2.13947	5.39357	22.0984	89.3445	
2.16901	5.47561	21.8083	86.5277	
2.14089	5.46672	21.4358	79.8009	
2.08496	5.4666	20.5653	80.1714	
2.04607	5.36907	19.8471	79.7963	
1.91782	5.38369	19.7443	79.2212	
1.82792	5.36329	19.8049	75.5707	
1.78728	5.24597	19.6235	76.0632	
1.75592	5.34049	20.0154	75.9109	
1.7103	5.30514	19.5445	84.8426	
1.64717	5.30516	18.5619	81.7545	
1.61935	5.14385	18.6233	87.9675	
1.57386	5.05815	18.2388	97.1098	
1.54082	4.97428	17.4203	94.3358	
